institution,location,degree_name,url,state
Auburn University,Auburn University,Graduate Certificate in Business Analytics,http://harbert.auburn.edu/academics/graduate-certificates/business-analytics/,alabama
The University of Alabama,Tuscaloosa,Master of Science in Applied Statistics,https://manderson.culverhouse.ua.edu/programs/specialized-masters/applied-statistics/,alabama
University of Alabama at Birmingham,Birmingham,Master of Science in Management Information Systems,http://businessdegrees.uab.edu/mis-degree-masters/,alabama
University of Alabama in Huntsville,Huntsville,Master of Science in Management Science - Business Analytics (MSMS-BA),http://www.uah.edu/cba/grad/degrees/analytics,alabama
University of North Alabama,Florence,Master of Science in Geospatial Science,https://www.una.edu/geography/Grad/index.html,alabama
Arizona State University,Tempe,Master of Accountancy - Data and Analytics Track,https://wpcarey.asu.edu/masters-programs/accounting-taxation,arizona
Northern Arizona University,Flagstaff,Master of Science in Applied Geospatial Sciences,https://nau.edu/sbs/gpr/degrees-programs/ms-applied-geospatial-sciences/,arizona
University of Arizona,Tucson,Business Intelligence & Analytics (Certificate NDP),http://grad.arizona.edu/programs/programinfo/BIACRTG,arizona
University of Arkansas at Little Rock,Little Rock,Graduate Certificate in Data Science,http://ualr.edu/informationscience/graduate-certificate-in-data-science/,arkansas
University of Arkansas,Fayetteville,Graduate Certificate in Business Analytics,http://gsb.uark.edu/business-analytics-certificate/,arkansas
"University of California, Berkeley",Berkeley,Online Master of Information and Cybersecurity (MICS),https://requestinfo.cybersecurity.berkeley.edu/index.html?s=mastersindatasciencesite&l=schools_california--listings-featured-program,california
California Institute of Technology,Pasadena,PhD in Computing and Mathematical Sciences,http://www.cms.caltech.edu/academics/grad_cms,california
California Polytechnic State University-San Luis Obispo,San Luis Obispo,Master of Science in Business Analytics,http://www.cob.calpoly.edu/gradbusiness/degree-programs/ms-business-analytics/,california
California State University-East Bay,Hayward,Master of Science in Business Analytics,http://www20.csueastbay.edu/cbe/msba/index.html,california
California State University-Fullerton,Fullerton,Certificate in Data Science,http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science,california
California State University-Long Beach,Long Beach,Master of Science in Applied Statistics,http://www.csulb.edu/divisions/aa/catalog/current/cnsm/mathematics/mathms05.html,california
California State University-San Bernardino,San Bernardino,Master of Business Administration (M.B.A.) - Business Intelligence and Information Technology Focus,http://bulletin.csusb.edu/colleges-schools-departments/business-public-administration/mba/,california
Chapman University,Orange,Doctorate in Computational and Data Sciences,http://www.chapman.edu/scst/graduate/phd-computational-science.aspx,california
Claremont Graduate University,Claremont,Master of Science in Analytical Politics,https://www.cgu.edu/academics/program/analytical-politics/,california
Golden Gate University-San Francisco,San Francisco,Master of Science in Business Analytics,http://www.ggu.edu/programs/business-analytics/master-of-science-in-business-analytics,california
Humboldt State University,Arcata,Geospatial Certificate Program,http://www2.humboldt.edu/gspcert/index.html,california
National University,La Jolla,Master of Science in Data Analytics,http://www.nu.edu/OurPrograms/SchoolOfEngineeringAndTechnology/ComputerScienceAndInformationSystems/Programs/MasterofScienceinDataAnalytics.html,california
San Diego State University,San Diego,Master of Science in Big Data Analytics,https://big.sdsu.edu/,california
San Jose State University,San Jose,Online Business Analytics Certificate,http://www.sjsu.edu/lucasschool/bacertificate/,california
Santa Clara University,Santa Clara,Master of Science in Business Analytics,https://www.scu.edu/business/ms-business-analytics/,california
Stanford University,Stanford,Biomedical Informatics MS Degree,http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults,california
"University of California, Berkeley",Berkeley,Online Master of Information and Cybersecurity (MICS),https://requestinfo.cybersecurity.berkeley.edu/index.html,california
University of California-Davis,Davis,Hybrid MBA with Business Analytics and Technologies Concentration,https://gsm.ucdavis.edu/bay-area-mba,california
University of California-Irvine,Irvine,Business Intelligence & Data Warehousing Certificate,http://unex.uci.edu/areas/it/data_warehousing/,california
University of California-Los Angeles,Los Angeles,Master of Science in Business Analytics,http://www.anderson.ucla.edu/degrees/master-of-science-in-business-analytics,california
University of California-Riverside,Riverside,Master of Science in Engineering - Data Science Specialization,https://engineeringonline.ucr.edu/,california
University of California-San Diego,La Jolla,Master of Advanced Study in Data Science and Engineering,http://www.jacobsschool.ucsd.edu/mas/dse/index.sfe,california
University of Redlands,Redlands,Master of Science in Geographic Information Systems,http://www.redlands.edu/study/schools-and-centers/college-of-arts-and-sciences/geographic-information-systems/master-of-science-in-gis/,california
University of San Francisco,San Francisco,Master of Science in Data Science,https://www.usfca.edu/arts-sciences/graduate-programs/data-science,california
University of Southern California,Los Angeles,Master of Science in Business Analytics,http://www.marshall.usc.edu/msanalytics,california
University of the Pacific,Sacramento | San Francisco,MS in Data Science,http://www.pacific.edu/Academics/Schools-and-Colleges/School-of-Engineering-and-Computer-Science/Academics-/MS-Analytics-Program.html,california
American Sentinel University,Aurora,Master of Science Business Intelligence and Analytics (MSBIA),http://www.americansentinel.edu/management/m-s-business-intelligence,colorado
Aspen University,Denver,Master of Science in Technology and Innovation - Business Intelligence and Data Management,http://www.aspen.edu/degrees/masters-degree/master-of-science-in-technology-and-innovation-business-intelligence-and-data-management,colorado
Colorado State University-Fort Collins,Fort Collins,Master of Applied Statistics (M.A.S.),http://mas.colostate.edu/online/,colorado
Colorado Technical University,Colorado Springs,Doctor of Computer Science - Concentration in Big Data Analytics,http://www.coloradotech.edu/degrees/doctorates/computer-science/big-data-analytics,colorado
Regis University,Denver,Graduate Certificate in Data Science,http://www.regis.edu/CCIS/Academics/Degrees-Programs/Certificates/GC-Data-Science.aspx,colorado
University of Colorado Boulder,Boulder,Master of Science in Business Administration-Business Analytics,http://www.colorado.edu/leedsms/ms-programs,colorado
University of Colorado Denver,Denver,Graduate Applied Statistics Certificate,https://clas.ucdenver.edu/mathematical-and-statistical-sciences/graduate-certificate-applied-statistics,colorado
